link,option
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704,30911
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704,30903
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704,30897
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704,30896
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704,30895
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704,30894
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,31027
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,31023
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,31015
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,31014
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,31013
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,31008
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,31007
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,31006
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,31005
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,30951
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,30946
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,30944
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,30943
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706,30934
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31120
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31119
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31118
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31115
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31108
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31107
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31106
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31105
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31104
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31035
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31034
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31032
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712,31030
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723,31165
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723,31164
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723,31155
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723,31154
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723,31153
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723,31152
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723,31150
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723,31148
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31219
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31218
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31217
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59725,31216
